id,cliente,comentario,fecha,comentario_limpio,sentimiento
1,Mateo Zamora,Muy contento. Mañana solución dicen.,2026-02-03,muy contento mañana solución dicen,Positivo
2,Inés Pujol Soto,Excelente servicio. Creo perdido miguel económico común espera.,2026-01-12,excelente servicio creo perdido miguel económico común espera,Neutral
3,Eulalia Mayol Tejera,No funciona. Habrá sido lenguaje.,2026-02-06,no funciona habrá sido lenguaje,Neutral
4,Ámbar del Paz,E tenían partidos material.,2026-01-09,e tenían partidos material,Neutral
5,Eliana Manzano Torre,Una decepción. Recuerdo quién mundo primer lo falta.,2026-02-20,una decepción recuerdo quién mundo primer lo falta,Negativo
6,Eulalia Pascual Llorente,Falta general nueva elementos cambios ellas.,2026-02-11,falta general nueva elementos cambios ellas,Neutral
7,Carlota Hervia-Cantón,Muy contento. Mujer sean has estos mil fernando.,2026-02-16,muy contento mujer sean has estos mil fernando,Positivo
8,Montserrat Marqués Artigas,Durante situación otro mayoría e española.,2026-01-31,durante situación otro mayoría e española,Neutral
9,Ruth de Pazos,Muy contento. Pues tarde como secretario tanto algunos medio derecha.,2026-01-05,muy contento pues tarde como secretario tanto algunos medio derecha,Positivo
10,Román Villar Torre,Toma ninguna productos o a metros recursos.,2026-02-21,toma ninguna productos o a metros recursos,Neutral
11,Blanca Nieto-Pujol,No funciona. Alrededor hijos sino hija quienes cuerpo necesidad.,2026-02-20,no funciona alrededor hijos sino hija quienes cuerpo necesidad,Neutral
12,Jeremías Alcaraz Huerta,Excelente servicio. Suerte plan han operación.,2026-01-08,excelente servicio suerte plan han operación,Positivo
13,Morena Anaya Lobo,Excelente servicio. Casa esto embargo reunión.,2026-01-12,excelente servicio casa esto embargo reunión,Positivo
14,José Ángel Cosme Diéguez Quesada,Nuestra viaje salida solo mujeres época materia.,2026-02-02,nuestra viaje salida solo mujeres época materia,Neutral
15,Albino Tirado Sarmiento,Mal soporte. Tenía pueblo período tarde falta economía vio.,2026-01-09,mal soporte tenía pueblo período tarde falta economía vio,Negativo
16,Jacinta Plaza-Perez,Lo recomiendo. Real diferentes será llevar alguna derecha particular próximo.,2026-02-14,lo recomiendo real diferentes será llevar alguna derecha particular próximo,Neutral
17,Nilda Padilla Pérez,No funciona. Corte forma valores blanca pueden.,2026-02-12,no funciona corte forma valores blanca pueden,Negativo
18,Bartolomé Landa,Fecha dio junto total bajo.,2026-01-29,fecha dio junto total bajo,Negativo
19,Nayara Atienza Martínez,Figura parece capital resultado zona siete participación.,2026-01-29,figura parece capital resultado zona siete participación,Neutral
20,Eva Cerro Córdoba,Llegó tarde. Diversas imágenes socialista piel.,2026-02-14,llegó tarde diversas imágenes socialista piel,Neutral
21,Zaida Maestre Fuertes,No funciona. Suerte fuera centros.,2026-01-17,no funciona suerte fuera centros,Negativo
22,José Canet Palacio,Conjunto tanto cada natural puedo felipe dan lugar.,2026-01-13,conjunto tanto cada natural puedo felipe dan lugar,Neutral
23,Venceslás Sala Carnero,Lo recomiendo. Quién ocasiones aquellos primer.,2026-01-26,lo recomiendo quién ocasiones aquellos primer,Positivo
24,Julio Mate Sainz,Muy contento. Todavía padre evitar materia mayo.,2026-02-13,muy contento todavía padre evitar materia mayo,Positivo
25,Cintia Garzón Montalbán,Una decepción. Varias información donde cuerpo términos.,2026-01-30,una decepción varias información donde cuerpo términos,Negativo
26,Sergio Pujadas Frías,Pésimo. Electoral enfermedad trabajar hace sola.,2026-01-05,pésimo electoral enfermedad trabajar hace sola,Negativo
27,Emiliano Gaspar Ibáñez Perez,Mal soporte. Quien septiembre forma vez.,2026-02-10,mal soporte quien septiembre forma vez,Negativo
28,Dimas Cabrera Gonzalez,Mal soporte. Bastante martín segundo llamado proyectos habían.,2026-01-13,mal soporte bastante martín segundo llamado proyectos habían,Negativo
29,Plácido Ríos Otero,Una decepción. Primero pudo imagen común alrededor ésta.,2026-01-25,una decepción primero pudo imagen común alrededor ésta,Negativo
30,Salvador Villanueva Cuenca,Increíble. Club hombres adelante llama ley aquí imposible.,2026-02-21,increíble club hombres adelante llama ley aquí imposible,Negativo
31,Araceli Febe Castells Mulet,Hablar problema tal llamado.,2026-02-25,hablar problema tal llamado,Neutral
